Time_Seconds,Best_Fitness
15661.14,43714.0
15667.11,43714.0
15673.03,43714.0
15678.98,43714.0
15685.02,43714.0
15690.97,43714.0
15696.9,43714.0
15702.91,43714.0
15708.97,43714.0
15714.9,43714.0
15720.83,43714.0
15726.75,43714.0
15732.74,43714.0
15738.72,43714.0
15744.62,43714.0
15750.56,43714.0
15756.56,43714.0
15762.51,43714.0
15768.4,43714.0
15774.35,43714.0
15780.31,43714.0
15786.21,43714.0
15792.18,43714.0
15798.22,43714.0
15804.12,43714.0
15810.03,43714.0
15816.03,43714.0
15822.09,43714.0
15828.07,43714.0
15833.98,43714.0
15839.9,43714.0
15845.78,43714.0
15851.71,43714.0
15857.62,43714.0
15863.67,43714.0
15869.66,43714.0
15875.61,43714.0
15881.56,43714.0
15887.46,43714.0
15893.42,43714.0
15899.43,43714.0
15905.41,43714.0
15911.34,43714.0
15917.33,43714.0
15923.38,43714.0
15929.31,43714.0
15935.25,43714.0
15941.26,43714.0
15947.16,43714.0
15953.12,43714.0
15959.1,43714.0
15965.02,43714.0
15971.01,43714.0
15977.03,43714.0
15982.97,43714.0
15988.99,43714.0
15994.96,43714.0
16000.89,43714.0
16006.92,43714.0
16012.85,43714.0
16018.84,43714.0
16024.85,43714.0
16030.83,43714.0
16036.7,43714.0
16042.67,43714.0
16048.6,43714.0
16054.51,43714.0
16060.5,43714.0
16066.42,43714.0
16072.4,43714.0
16078.37,43714.0
16084.24,43714.0
16090.27,43714.0
16096.28,43714.0
16102.28,43714.0
16108.28,43714.0
16114.23,43714.0
16120.12,43714.0
16126.1,43714.0
16132.03,43714.0
16137.94,43714.0
16143.88,43714.0
16149.88,43714.0
16155.85,43714.0
16161.78,43714.0
16167.75,43714.0
16173.64,43714.0
16179.51,43714.0
16185.46,43714.0
16191.33,43714.0
16197.23,43714.0
16203.22,43714.0
16209.14,43714.0
16215.09,43714.0
16221.09,43714.0
16227.05,43714.0
16233.07,43714.0
16239.01,43714.0
16244.9,43714.0
16250.83,43714.0
16256.82,43714.0
16262.73,43714.0
16268.67,43714.0
16274.62,43714.0
16280.59,43714.0
16286.49,43714.0
16292.49,43714.0
16298.41,43714.0
16304.35,43714.0
16310.37,43714.0
16316.26,43714.0
16322.23,43714.0
16328.17,43714.0
16334.11,43714.0
16340.05,43714.0
16345.95,43714.0
16351.92,43714.0
16357.86,43714.0
16363.83,43714.0
16369.77,43714.0
16375.71,43714.0
16381.66,43714.0
16387.62,43714.0
16393.51,43714.0
16399.44,43714.0
16405.36,43714.0
16411.23,43714.0
16417.2,43714.0
16423.22,43714.0
16429.12,43714.0
16435.08,43714.0
16441.05,43714.0
16447.01,43714.0
16452.94,43714.0
16458.87,43714.0
16464.91,43714.0
16470.88,43714.0
16476.83,43714.0
16482.75,43714.0
16488.73,43714.0
16494.68,43714.0
16500.66,43714.0
16506.62,43714.0
16512.61,43714.0
16518.53,43714.0
16524.53,43714.0
16530.43,43714.0
16536.32,43714.0
16542.29,43714.0
16548.2,43714.0
16554.11,43714.0
16560.13,43714.0
16566.07,43714.0
16571.97,43714.0
16577.97,43714.0
16583.88,43714.0
16589.75,43714.0
16595.7,43714.0
16601.64,43714.0
16607.6,43714.0
16613.61,43714.0
16619.54,43714.0
16625.47,43714.0
16631.44,43714.0
16637.4,43714.0
16643.38,43714.0
16649.37,43714.0
16655.31,43714.0
16661.25,43714.0
16667.26,43714.0
16673.14,43714.0
16679.08,43714.0
16685.02,43714.0
16690.91,43714.0
16696.88,43714.0
16702.86,43714.0
16708.86,43714.0
16714.79,43714.0
16720.82,43714.0
16726.77,43714.0
16732.68,43714.0
16738.64,43714.0
16744.53,43714.0
16750.45,43714.0
16756.41,43714.0
16762.4,43714.0
16768.3,43714.0
16774.29,43714.0
16780.2,43714.0
16786.13,43714.0
16792.09,43714.0
16798.09,43714.0
16804.02,43714.0
16810.02,43714.0
16815.95,43714.0
16821.9,43714.0
16827.82,43714.0
16833.71,43714.0
16839.63,43714.0
16845.51,43714.0
16851.44,43714.0
16857.37,43714.0
16863.35,43714.0
16869.31,43714.0
16875.22,43714.0
16881.26,43714.0
16887.25,43714.0
16893.13,43714.0
16899.07,43714.0
16905.06,43714.0
16911.27,43714.0
16917.27,43714.0
16923.16,43714.0
16929.13,43714.0
16935.04,43714.0
16941.02,43714.0
16946.99,43714.0
16953.0,43714.0
16958.92,43714.0
16964.87,43714.0
16970.83,43714.0
16976.71,43714.0
16982.7,43714.0
16988.67,43714.0
16994.64,43714.0
17000.65,43714.0
17006.63,43714.0
17012.54,43714.0
17018.48,43714.0
17024.4,43714.0
17030.32,43714.0
17036.22,43714.0
17042.21,43714.0
17048.25,43714.0
17054.2,43714.0
17060.16,43714.0
17066.1,43714.0
17072.06,43714.0
17077.95,43714.0
17083.9,43714.0
17089.83,43714.0
17095.77,43714.0
17101.66,43714.0
17107.59,43714.0
17113.53,43714.0
17119.46,43714.0
17125.37,43714.0
17131.36,43714.0
17137.24,43714.0
17143.19,43714.0
17149.11,43714.0
17155.04,43714.0
17161.07,43714.0
17167.0,43714.0
17172.97,43714.0
17178.81,43714.0
17184.81,43714.0
17190.74,43714.0
17196.62,43714.0
17202.55,43714.0
17208.45,43714.0
17214.41,43714.0
17220.37,43714.0
17226.29,43714.0
17232.27,43714.0
17238.16,43714.0
17244.21,43714.0
17250.16,43714.0
17256.07,43714.0
17261.98,43714.0
17267.91,43714.0
17273.9,43714.0
17279.89,43714.0
17285.87,43714.0
17291.82,43714.0
17297.72,43714.0
17303.68,43714.0
17309.58,43714.0
17315.48,43714.0
17321.44,43714.0
17327.42,43714.0
17333.35,43714.0
17339.28,43714.0
17345.25,43714.0
17351.14,43714.0
17357.06,43714.0
17363.07,43714.0
17369.08,43714.0
17375.01,43714.0
17380.98,43714.0
17386.89,43714.0
17392.89,43714.0
17398.86,43714.0
17404.79,43714.0
17410.71,43714.0
17416.76,43714.0
17422.68,43714.0
17428.79,43714.0
17434.85,43714.0
17440.81,43714.0
17446.68,43714.0
17452.67,43714.0
17458.66,43714.0
17464.55,43714.0
17470.48,43714.0
17476.38,43714.0
17482.27,43714.0
17488.3,43714.0
17494.23,43714.0
17500.18,43714.0
17506.18,43714.0
17512.12,43714.0
17518.11,43714.0
17524.07,43714.0
17530.03,43714.0
17535.96,43714.0
17541.99,43714.0
17547.91,43714.0
17553.82,43714.0
17559.81,43714.0
17565.73,43714.0
17571.73,43714.0
17577.62,43714.0
17583.56,43714.0
17589.51,43714.0
17595.54,43714.0
17601.49,43714.0
17607.37,43714.0
17613.33,43714.0
17619.23,43714.0
17625.21,43714.0
17631.21,43714.0
17637.11,43714.0
17643.04,43714.0
17649.04,43714.0
17655.04,43714.0
17660.94,43714.0
17666.95,43714.0
17672.85,43714.0
17678.71,43714.0
17684.64,43714.0
17690.57,43714.0
17696.47,43714.0
17702.45,43714.0
17708.39,43714.0
17714.32,43714.0
17720.27,43714.0
17726.26,43714.0
17732.24,43714.0
17738.24,43714.0
17744.12,43714.0
17750.07,43714.0
17756.04,43714.0
17761.92,43714.0
17767.9,43714.0
17773.91,43714.0
17779.86,43714.0
17785.81,43714.0
17791.81,43714.0
17797.75,43714.0
17803.62,43714.0
17809.61,43714.0
17815.54,43714.0
17821.48,43714.0
17827.41,43714.0
17833.34,43714.0
17839.3,43714.0
17845.29,43714.0
17851.26,43714.0
17857.17,43714.0
17863.21,43714.0
17869.14,43714.0
17875.05,43714.0
17881.02,43714.0
17887.01,43714.0
17892.96,43714.0
17898.92,43714.0
17904.92,43714.0
17910.92,43714.0
17916.97,43714.0
17922.91,43714.0
17928.84,43714.0
17934.74,43714.0
17940.66,43714.0
17946.59,43714.0
17952.59,43714.0
17958.54,43714.0
17964.51,43714.0
17970.48,43714.0
17976.43,43714.0
17982.32,43714.0
17988.28,43714.0
17994.16,43714.0
